城市,PM2.5
七台河,23.610597014925375
三亚,13.578823529411764
三明,37.095619047619046
三门峡,159.41442857142857
上海,30.252962962962965
上饶,49.42979166666667
东莞,49.780869565217394
东营,104.84705882352942
中卫,33.43785046728972
中山,42.156666666666666
临夏回族自治州,21.2978
临汾,151.2735294117647
临沂,92.89076923076922
临沧,20.62683333333333
丹东,34.02105263157895
丽水,29.50271186440678
丽江,8.229067796610169
乌兰察布,31.417602996254683
乌海,25.47590909090909
乌鲁木齐,45.47526315789473
乐山,51.32655172413793
九江,141.47241935483873
云浮,54.86363636363637
五指山,14.928720930232556
亳州,131.45055555555555
仙桃,174.73413793103447
伊春,19.49271844660194
伊犁哈萨克自治州,5.070380434782609
佛山,62.230999999999995
佳木斯,21.49722222222222
保定,136.06730158730159
保山,19.899625
信阳,159.29093333333333
克拉玛依,12.11799295774648
六安,131.89076923076922
六盘水,30.123055555555556
兰州,42.419642857142854
兴义,32.324174757281554
兴安盟,10.162883597883598
内江,80.68774193548387
凉山彝族自治州,17.408514285714283
包头,36.880272727272725
北京,80.59288461538462
北海,25.540434782608692
十堰,100.30195121951219
南京,108.05272727272727
南充,62.74225
南宁,60.040476190476184
南平,29.136875
南昌,86.06888888888889
南通,40.02789473684211
南阳,169.32409638554216
博尔塔拉蒙古自治州,6.903082706766917
厦门,28.37620689655172
双鸭山,20.954879032258066
台州,27.343541666666667
合肥,152.59742857142857
吉安,48.33811111111111
吉林,16.878427672955976
吐鲁番地区,25.584600938967135
吕梁,82.41252631578946
吴忠,29.099181818181815
周口,214.94978260869567
呼伦贝尔,3.2138976377952755
呼和浩特,42.387288135593224
和田地区,79.02738524590164
咸宁,131.59915492957748
咸阳,96.79857142857144
哈密地区,11.721084337349398
哈尔滨,21.552291666666665
唐山,76.69620689655173
商丘,172.11717391304347
商洛,96.94135135135134
喀什地区,86.99955938697317
嘉兴,60.32782608695652
嘉峪关,9.662878048780488
四平,23.63547619047619
固原,32.576375
塔城地区,2.381130952380952
墨江哈尼族自治县,20.103116883116883
大兴安岭地区,4.529162393162393
大同,69.8104
大庆,20.136407766990292
大理白族自治州,13.815196078431374
大连,37.42638888888889
天水,40.7072602739726
天津,108.68653061224491
太原,91.22051282051282
