城市,PM2.5(微克每立方米), PM10(微克每立方米), SO2(微克每立方米), NO2(微克每立方米), CO(毫克每立方米), O3(微克每立方米), U(m/s), V(m/s), TEMP(K), RH(%), PSFC(Pa)
七台河,12.464925373134328,21.656119402985077,2.171492537313433,4.398059701492538,0.3344776119402985,55.51164179104478,11.27865671641791,-2.2786567164179106,252.5449253731343,63.92074626865671,98862.98089552239
三亚,22.110588235294117,44.584999999999994,12.26529411764706,6.2694117647058825,0.5108823529411765,76.70058823529412,-7.920294117647059,-6.19,292.7711764705882,74.49558823529412,98761.18705882353
三明,11.577714285714286,20.510380952380952,9.891238095238094,10.100285714285715,0.3984761904761905,38.43361904761905,-2.67647619047619,-4.698952380952381,279.4146666666667,80.53352380952381,96325.04695238094
三门峡,25.254142857142856,72.03942857142857,14.466142857142858,20.84157142857143,0.6504285714285715,34.824,0.4757142857142857,-3.524142857142857,264.0844285714286,48.359857142857145,93745.74657142856
上海,25.047037037037036,43.73444444444444,8.248148148148148,22.767777777777777,0.5381481481481482,47.10296296296296,4.288888888888889,-9.26037037037037,275.847037037037,66.50222222222222,103493.92037037037
上饶,24.281875,36.36729166666667,9.666666666666666,15.542708333333332,0.59,36.89854166666667,-6.416458333333334,-6.182708333333333,275.98645833333336,68.71708333333333,99968.22499999999
东莞,18.688260869565216,29.56782608695652,7.647391304347826,19.33478260869565,0.742608695652174,30.76695652173913,-4.757826086956522,-8.571739130434782,285.68565217391307,69.13652173913044,101035.12347826087
东营,11.748823529411764,35.163823529411765,10.366470588235293,18.893823529411765,0.43735294117647056,45.402058823529416,5.121764705882352,-5.107058823529411,266.7458823529412,41.493529411764705,104096.52470588234
中卫,14.285887850467288,27.66289719626168,12.058598130841121,13.102803738317757,0.41476635514018695,40.413084112149534,-3.9236448598130838,-0.1749532710280374,257.0848598130841,55.88859813084112,86112.11037383178
中山,21.628888888888888,38.474444444444444,7.33,32.67888888888889,0.8388888888888889,26.215555555555554,-4.011111111111111,-8.876666666666667,287.5755555555556,67.0488888888889,102154.23777777777
临夏回族自治州,45.8342,82.96340000000001,21.901799999999998,17.680999999999997,0.7472,43.1052,-0.9873999999999999,-0.764,257.1894,81.2326,75488.9438
临汾,13.409529411764705,40.127764705882356,14.302588235294118,16.840823529411765,0.5495294117647059,43.5215294117647,1.6210588235294117,-5.482,261.2735294117647,32.607882352941175,91714.85976470588
临沂,16.54403846153846,59.745576923076925,11.023076923076925,22.044807692307693,0.5236538461538461,41.36057692307692,2.4692307692307693,-6.810961538461539,265.49,28.447692307692307,102528.52038461537
临沧,26.950750000000003,37.74375,9.412333333333333,6.294333333333333,0.46775,48.047583333333336,-1.78275,5.0832500000000005,284.834,76.53458333333333,84216.42941666667
丹东,17.238771929824562,40.87175438596491,11.871929824561404,15.866315789473685,0.6038596491228071,42.925438596491226,3.5278947368421054,-6.340701754385965,259.01964912280704,44.35824561403509,101279.43017543858
丽水,25.1528813559322,37.86322033898305,8.654745762711864,17.04864406779661,0.5083050847457627,41.11559322033899,-3.03271186440678,-6.741186440677966,273.7379661016949,82.94661016949154,95919.00423728813
丽江,14.583983050847458,21.792796610169493,5.889322033898305,5.918305084745763,0.4872033898305085,67.81389830508475,2.295847457627118,6.484067796610169,275.84161016949156,62.66033898305085,73109.4729661017
乌兰察布,4.261947565543071,6.537191011235955,2.7882022471910113,2.269475655430712,0.2856928838951311,51.502883895131085,6.325880149812734,-3.4376404494382022,252.53097378277155,54.945580524344564,88269.0661048689
乌海,7.447142857142857,13.542857142857143,7.220844155844156,6.825454545454544,0.3255844155844156,49.09993506493507,-1.2286363636363637,-1.2006493506493507,254.97935064935064,36.52266233766234,89221.22805194804
