城市,PM2.5(微克每立方米), PM10(微克每立方米), SO2(微克每立方米), NO2(微克每立方米), CO(毫克每立方米), O3(微克每立方米), U(m/s), V(m/s), TEMP(K), RH(%), PSFC(Pa)
七台河,38.10373134328358,53.39492537313433,13.289402985074627,20.800298507462685,0.5686567164179105,34.15044776119403,2.713731343283582,5.13089552238806,262.44014925373136,60.70925373134328,99063.53910447762
三亚,31.99470588235294,42.93117647058824,11.864117647058823,6.825294117647059,0.4505882352941177,60.60029411764705,-5.806176470588235,-6.474705882352941,293.70088235294116,78.18794117647059,99066.82588235295
三明,40.41838095238096,49.852761904761905,14.847428571428571,13.081428571428571,0.5366666666666666,34.835142857142856,-1.986095238095238,-0.7950476190476191,283.9094285714286,87.74752380952381,96295.22590476192
三门峡,122.168,153.64685714285716,47.656285714285715,43.293,1.1027142857142858,28.077571428571428,4.619285714285715,-1.5342857142857145,272.7242857142857,36.89342857142857,92866.49414285715
上海,26.49777777777778,37.480000000000004,31.321851851851854,42.169999999999995,0.5388888888888889,35.99962962962963,-3.9151851851851855,-1.2537037037037038,283.27444444444444,74.99740740740741,102986.58
上饶,53.33541666666667,62.87520833333334,15.44375,26.564999999999998,0.7427083333333333,21.191458333333333,-1.1483333333333332,-0.8827083333333333,280.715,83.15458333333333,99607.101875
东莞,54.52391304347826,67.32913043478261,20.70173913043478,28.262173913043476,0.7404347826086957,38.93478260869565,-3.645652173913043,-4.985652173913044,288.9395652173913,68.13565217391304,101122.52652173913
东营,105.42735294117648,139.16176470588235,60.26323529411764,49.35794117647059,1.1108823529411764,18.77235294117647,2.3994117647058824,5.063823529411764,274.6738235294118,56.993235294117646,102939.48529411765
中卫,20.558130841121493,36.822897196261685,7.201214953271028,8.624485981308412,0.2953271028037383,51.00663551401869,6.793271028037383,-3.9326168224299067,268.83046728971965,46.50093457943925,85661.59859813085
中山,71.19333333333333,93.16111111111111,37.827777777777776,53.12,0.8966666666666667,30.061111111111114,-2.214444444444444,-6.1866666666666665,289.71666666666664,68.12888888888888,102258.27888888889
临夏回族自治州,55.4992,71.4368,14.743,17.5344,0.8759999999999999,49.3254,1.4146,-1.357,267.836,55.4204,75684.34060000001
临汾,118.49270588235294,153.34129411764707,77.6110588235294,49.068705882352944,1.6972941176470588,21.933529411764706,3.446,-0.9452941176470587,271.1327058823529,38.29941176470588,90819.1514117647
临沂,95.93730769230768,140.7896153846154,46.098076923076924,52.67423076923077,1.218846153846154,18.456346153846155,0.35884615384615387,2.000384615384615,275.18461538461537,78.52923076923076,101550.16153846154
临沧,31.49725,36.7885,9.972583333333334,6.017416666666667,0.5309166666666667,45.491,0.33625,2.59475,286.1445,90.387,84729.81391666667
丹东,50.80070175438596,69.22526315789474,21.36842105263158,26.699298245614035,0.8887719298245613,28.64982456140351,0.5421052631578948,3.6050877192982456,270.13105263157894,77.02614035087718,100734.5294736842
丽水,47.54474576271186,54.93474576271186,11.299661016949152,24.577457627118644,0.6486440677966102,28.140169491525423,-2.0552542372881355,0.4171186440677966,280.8294915254237,93.3271186440678,95687.49847457628
丽江,10.049237288135593,12.192203389830508,3.489830508474576,3.063220338983051,0.3077966101694915,73.83576271186442,8.667542372881355,2.443813559322034,279.20296610169487,60.9706779661017,73554.94661016949
乌兰察布,37.06760299625468,50.61816479400749,23.72,16.732996254681648,0.5143071161048689,33.27044943820224,7.949138576779027,0.6932584269662921,265.4614606741573,50.780861423220976,87089.21808988764
乌海,13.949155844155845,30.403311688311685,11.350974025974025,9.203441558441558,0.30253246753246754,40.491493506493505,8.682727272727274,-1.1238311688311688,267.0346103896104,56.09428571428572,88179.92584415585
乌鲁木齐,39.235789473684214,49.25184210526316,5.953631578947369,10.850736842105263,0.4976315789473684,59.710578947368425,3.0651052631578946,-0.5133157894736842,266.1284210526316,40.0921052631579,83385.05747368421
乐山,107.94051724137931,127.64551724137931,42.201034482758615,22.892068965517243,0.8618965517241379,32.97706896551724,1.0124137931034483,-2.202413793103448,276.15241379310345,76.93672413793104,90133.64551724138
九江,83.34564516129032,94.50177419354839,21.843064516129033,30.534354838709678,0.827741935483871,22.21,-0.26693548387096777,-2.854516129032258,280.5920967741935,74.33532258064515,101779.76258064517
云浮,56.69295454545454,68.3965909090909,16.5325,16.97431818181818,0.7138636363636364,37.56045454545455,-2.565909090909091,-3.896818181818182,287.1306818181818,69.95590909090909,100120.25272727273
五指山,42.790116279069764,55.67174418604652,14.178372093023254,10.099883720930233,0.5284883720930232,52.2460465116279,-4.0943023255813955,-5.23953488372093,292.0252325581395,89.36418604651162,99525.18581395349
亳州,77.84527777777777,102.02361111111111,16.43861111111111,41.52583333333334,0.7825,14.896666666666667,-1.2194444444444443,0.9811111111111112,276.4086111111111,77.67611111111111,102813.04944444443
仙桃,155.76862068965517,185.2644827586207,48.62862068965517,38.15827586206896,1.1803448275862067,27.931379310344827,-0.056206896551724145,-2.839655172413793,278.3055172413793,45.83,102561.74551724139
伊春,41.870242718446605,55.36048543689321,17.590679611650483,19.35485436893204,0.6000485436893204,25.830000000000002,3.276990291262136,5.923058252427185,259.37873786407766,66.91616504854369,96971.14665048545
伊犁哈萨克自治州,8.020217391304348,12.003967391304348,3.0079891304347828,5.963804347826087,0.46771739130434786,62.61114130434783,0.35929347826086955,1.9115217391304347,270.5965217391304,28.252065217391305,82671.37076086957
佛山,62.657500000000006,80.202,29.911,37.4065,0.817,29.2935,-1.8824999999999998,-6.757,288.209,65.557,102254.6275
佳木斯,39.10194444444445,52.98555555555556,12.241388888888888,19.683333333333334,0.5030555555555556,33.39416666666667,2.977777777777778,5.783055555555555,261.4663888888889,60.77361111111111,100941.92666666667
保定,157.82698412698414,196.95777777777778,57.74952380952381,61.26936507936508,1.6565079365079365,14.68,1.974920634920635,1.2136507936507936,272.215873015873,32.83079365079365,100244.5380952381
保山,28.027375,39.176,11.077625000000001,8.610625,0.45962500000000006,46.608,2.489125,2.18125,284.7135,90.628375,82195.19375
信阳,110.858,142.30706666666669,23.2432,37.08266666666666,0.9658666666666667,22.48773333333333,-0.019733333333333332,-0.5048,276.95946666666663,62.8932,101668.0432
克拉玛依,31.33580985915493,38.393943661971825,9.00394366197183,10.524084507042254,0.4251408450704225,56.715528169014085,0.31464788732394366,-0.7017253521126761,265.1432746478873,61.41035211267606,92971.46161971832
六安,96.1196923076923,126.99692307692307,26.131692307692308,50.51015384615384,0.8486153846153845,19.887384615384615,0.09723076923076923,-0.19061538461538463,277.6695384615385,71.5453846153846,100919.8516923077
六盘水,33.88708333333333,43.75222222222222,22.62222222222222,13.666111111111112,0.6016666666666667,38.05013888888889,2.0568055555555556,2.599861111111111,280.9254166666667,80.13430555555556,82222.92555555556
兰州,51.104464285714286,72.26660714285714,27.00482142857143,38.246964285714284,0.9057142857142857,36.84428571428571,0.30374999999999996,-0.5492857142857143,268.0003571428571,50.205,79635.33142857142
兴义,42.643495145631064,52.170776699029126,15.543009708737864,5.26873786407767,0.512621359223301,47.73019417475728,-1.5302912621359224,2.0471844660194174,281.56184466019414,75.86126213592233,89577.04281553398
兴安盟,13.045608465608465,15.82462962962963,7.017089947089947,5.043306878306878,0.25407407407407406,43.03227513227513,7.6055291005291,-0.21134920634920634,262.72584656084655,56.09283068783069,93405.42732804234
内江,115.39064516129032,140.8974193548387,49.28354838709677,27.98483870967742,1.0090322580645161,24.38774193548387,-1.0745161290322582,-3.6916129032258063,280.75903225806445,55.47967741935484,97737.40580645161
凉山彝族自治州,13.123199999999999,16.56302857142857,6.096628571428572,4.467314285714285,0.3374285714285714,70.49342857142857,7.274228571428571,4.779314285714285,279.7381142857143,53.54182857142857,74167.83577142857
