城市,PM2.5(微克每立方米), PM10(微克每立方米), SO2(微克每立方米), NO2(微克每立方米), CO(毫克每立方米), O3(微克每立方米), U(m/s), V(m/s), TEMP(K), RH(%), PSFC(Pa)
七台河,37.14432835820896,64.05507462686566,10.48134328358209,23.79955223880597,0.7171641791044776,29.151492537313434,3.106417910447761,1.9005970149253733,262.9759701492537,68.16119402985075,98880.29776119403
三亚,17.321470588235293,25.735588235294117,2.3249999999999997,4.530294117647059,0.3673529411764706,66.455,-2.9394117647058824,0.7867647058823529,295.15588235294115,86.75911764705882,98627.12352941177
三明,35.42371428571428,47.14647619047619,9.67504761904762,21.01809523809524,1.1571428571428573,33.496476190476194,1.341142857142857,2.8241904761904766,288.008,91.6032380952381,95539.13342857143
三门峡,103.65128571428572,136.36457142857142,26.042285714285715,43.21142857142858,1.3874285714285715,38.553285714285714,-0.8218571428571428,2.682285714285714,277.63885714285715,50.910714285714285,91942.25957142857
上海,34.18,55.80962962962963,9.646296296296295,54.53666666666667,0.6355555555555555,35.80444444444444,-2.6603703703703703,-5.028888888888889,285.26074074074074,89.85740740740741,101984.39333333334
上饶,33.794375,48.81666666666666,12.038333333333334,30.233958333333334,0.7479166666666667,23.0125,-1.6916666666666667,-0.9185416666666667,285.07520833333336,84.49187500000001,98636.544375
东莞,46.19521739130435,72.85913043478261,9.598695652173914,49.65739130434782,0.7334782608695652,37.224347826086955,-2.7056521739130432,3.784782608695652,294.08434782608697,88.47695652173913,100385.64347826086
东营,80.47441176470589,123.01705882352941,25.595882352941175,67.39970588235295,1.26,21.548823529411763,-2.626470588235294,1.363235294117647,277.3317647058824,61.137352941176474,102209.93470588236
中卫,23.148130841121496,41.61065420560748,9.113271028037383,14.517943925233645,0.4747663551401869,42.07588785046729,5.016261682242991,-2.7531775700934578,270.7854205607477,45.74542056074767,84701.91420560748
中山,35.327777777777776,56.38666666666667,7.128888888888889,36.922222222222224,0.5933333333333333,50.35444444444445,-3.118888888888889,4.013333333333333,294.9977777777778,88.92888888888889,101494.70666666667
临夏回族自治州,53.085,79.265,11.7742,19.4968,1.1408,48.5042,1.7604,0.0668,272.3848,34.9216,74842.4518
临汾,105.61882352941177,158.32823529411763,96.77764705882353,67.92423529411765,2.276705882352941,20.079176470588237,0.16223529411764706,2.533176470588235,275.2054117647059,41.08964705882353,89976.97788235295
临沂,105.0875,177.51230769230767,19.624615384615385,57.53923076923077,1.2709615384615385,30.845192307692308,-5.069999999999999,-1.7478846153846155,279.16153846153844,68.36134615384616,100628.89346153846
临沧,15.786166666666666,20.708166666666667,3.8393333333333337,3.5780000000000003,0.33808333333333335,55.624,4.084583333333333,-0.2718333333333333,285.9869166666667,78.46041666666666,84346.80275
丹东,62.52263157894737,85.72719298245613,23.09122807017544,42.67052631578947,1.5289473684210528,19.501228070175436,-1.2575438596491229,-1.8736842105263158,271.2421052631579,54.47210526315789,100243.21877192982
丽水,37.82101694915254,46.57305084745763,8.406101694915254,22.41457627118644,0.5723728813559322,37.17084745762712,0.5905084745762712,1.9122033898305086,285.0535593220339,88.5286440677966,94851.73254237288
丽江,3.639830508474576,4.901694915254237,1.3726271186440677,3.068898305084746,0.33203389830508473,70.37279661016949,5.418983050847458,-2.3482203389830505,279.41228813559326,27.558050847457626,73199.9163559322
乌兰察布,29.43996254681648,48.96202247191012,26.789101123595504,29.803632958801497,0.7330711610486891,28.369775280898875,5.224794007490637,4.367640449438203,267.3507116104869,55.61000000000001,86420.98779026217
乌海,15.603246753246754,31.327987012987016,11.576753246753245,12.005584415584416,0.41357142857142853,40.20051948051948,5.964545454545454,-0.7828571428571429,268.50961038961043,53.28948051948052,87281.23318181818
乌鲁木齐,15.348894736842105,25.63584210526316,3.055263157894737,13.405105263157894,0.42584210526315786,49.77147368421053,4.212736842105263,-1.7613157894736842,263.3694736842105,53.01284210526316,82725.33731578947
乐山,87.66362068965518,106.02499999999999,8.021206896551725,19.653620689655174,0.8148275862068965,45.85758620689655,0.43689655172413794,0.08620689655172414,281.4443103448276,61.10706896551724,89059.88913793104
九江,38.726129032258065,45.66306451612903,9.446935483870968,24.823064516129033,0.6175806451612903,31.99451612903226,-2.3483870967741933,-2.333387096774193,284.0514516129032,86.66370967741935,100744.30483870968
云浮,53.11022727272727,73.52318181818181,3.992272727272727,30.1475,0.8993181818181818,45.933181818181815,-1.0636363636363637,4.340681818181818,293.9793181818182,89.13977272727273,99278.52727272728
五指山,17.507441860465118,25.963837209302323,2.5854651162790696,3.8848837209302327,0.3236046511627907,66.55209302325581,-1.5677906976744187,1.4741860465116279,295.261511627907,85.99139534883722,98966.14662790697
亳州,132.91083333333333,169.75166666666667,14.089166666666666,54.37611111111111,1.2752777777777777,22.370555555555555,-0.6472222222222223,0.805,281.8527777777778,78.41194444444444,101769.53361111111
仙桃,63.384827586206896,89.20793103448277,11.252413793103448,38.05586206896551,1.096551724137931,13.079655172413792,-1.443448275862069,-1.596896551724138,283.18896551724134,79.7841379310345,101434.0024137931
伊春,24.38,41.716504854368935,10.141165048543689,14.888495145631069,0.6127184466019417,27.918009708737863,3.0755339805825246,2.930873786407767,259.78893203883496,75.44563106796116,96944.51747572816
伊犁哈萨克自治州,17.17907608695652,19.145978260869565,6.255271739130435,6.790380434782609,0.5497826086956522,53.592771739130434,2.854945652173913,-0.09576086956521737,263.36369565217393,78.77728260869566,82309.29880434783
佛山,67.624,109.1375,11.7005,86.9395,1.0635,22.1535,-2.2165,3.8329999999999997,294.6515,88.139,101410.5865
